data,horário,comp,rodada,mando,resultado,gp,gc,adversário,egp,egc,poss
2020-09-21,20:15 (21:15),Premier League,Matchweek 2,Away,W,3,1,Wolves,1.9,0.6,65
2020-09-27,16:30 (17:30),Premier League,Matchweek 3,Home,L,2,5,Leicester City,0.9,2.9,72
2020-10-03,17:30 (18:30),Premier League,Matchweek 4,Away,D,1,1,Leeds United,1.2,2.4,49
2020-10-17,17:30 (18:30),Premier League,Matchweek 5,Home,W,1,0,Arsenal,1.3,0.9,58
2020-10-24,12:30 (13:30),Premier League,Matchweek 6,Away,D,1,1,West Ham,1.0,0.3,69
2020-10-31,12:30 (14:30),Premier League,Matchweek 7,Away,W,1,0,Sheffield Utd,1.6,0.5,65
2020-11-08,16:30 (18:30),Premier League,Matchweek 8,Home,D,1,1,Liverpool,1.4,1.2,54
2020-11-21,17:30 (19:30),Premier League,Matchweek 9,Away,L,0,2,Tottenham,1.4,0.7,66
2020-11-28,15:00 (17:00),Premier League,Matchweek 10,Home,W,5,0,Burnley,1.7,0.5,68
2020-12-05,15:00 (17:00),Premier League,Matchweek 11,Home,W,2,0,Fulham,2.9,0.3,69
2020-12-12,17:30 (19:30),Premier League,Matchweek 12,Away,D,0,0,Manchester Utd,1.3,0.6,54
2020-12-15,20:00 (22:00),Premier League,Matchweek 13,Home,D,1,1,West Brom,2.2,0.4,77
2020-12-19,15:00 (17:00),Premier League,Matchweek 14,Away,W,1,0,Southampton,0.9,0.7,52
2020-12-26,20:00 (22:00),Premier League,Matchweek 15,Home,W,2,0,Newcastle Utd,3.0,0.3,74
2021-01-03,16:30 (18:30),Premier League,Matchweek 17,Away,W,3,1,Chelsea,2.7,0.8,46
2021-01-13,18:00 (20:00),Premier League,Matchweek 18,Home,W,1,0,Brighton,2.0,0.2,65
2021-01-17,19:15 (21:15),Premier League,Matchweek 19,Home,W,4,0,Crystal Palace,0.7,0.1,71
2021-01-20,18:00 (20:00),Premier League,Matchweek 1,Home,W,2,0,Aston Villa,3.4,0.6,69
2021-01-26,20:15 (22:15),Premier League,Matchweek 20,Away,W,5,0,West Brom,1.8,0.5,77
2021-01-30,15:00 (17:00),Premier League,Matchweek 21,Home,W,1,0,Sheffield Utd,1.5,0.2,75
2021-02-03,18:00 (20:00),Premier League,Matchweek 22,Away,W,2,0,Burnley,2.0,0.1,74
2021-02-07,16:30 (18:30),Premier League,Matchweek 23,Away,W,4,1,Liverpool,3.5,1.2,44
2021-02-13,17:30 (19:30),Premier League,Matchweek 24,Home,W,3,0,Tottenham,2.2,0.3,60
2021-02-17,20:15 (22:15),Premier League,Matchweek 16,Away,W,3,1,Everton,1.0,1.0,71
2021-02-21,16:30 (18:30),Premier League,Matchweek 25,Away,W,1,0,Arsenal,1.8,0.3,55
2021-02-27,12:30 (14:30),Premier League,Matchweek 26,Home,W,2,1,West Ham,0.5,1.5,63
2021-03-02,20:00 (22:00),Premier League,Matchweek 29,Home,W,4,1,Wolves,3.3,0.3,72
2021-03-07,16:30 (18:30),Premier League,Matchweek 27,Home,L,0,2,Manchester Utd,1.3,1.7,66
2021-03-10,18:00 (20:00),Premier League,Matchweek 33,Home,W,5,2,Southampton,2.6,1.6,58
2021-03-13,20:00 (22:00),Premier League,Matchweek 28,Away,W,3,0,Fulham,2.2,0.3,54
2021-04-03,17:30 (18:30),Premier League,Matchweek 30,Away,W,2,0,Leicester City,1.4,0.3,56
2021-04-10,12:30 (13:30),Premier League,Matchweek 31,Home,L,1,2,Leeds United,2.1,0.1,71
2021-04-21,20:15 (21:15),Premier League,Matchweek 32,Away,W,2,1,Aston Villa,1.2,0.7,72
2021-05-01,12:30 (13:30),Premier League,Matchweek 34,Away,W,2,0,Crystal Palace,1.7,0.9,68
2021-05-08,17:30 (18:30),Premier League,Matchweek 35,Home,L,1,2,Chelsea,1.8,0.7,48
2021-05-14,20:00 (21:00),Premier League,Matchweek 36,Away,W,4,3,Newcastle Utd,1.5,2.2,82
2021-05-18,19:00 (20:00),Premier League,Matchweek 37,Away,L,2,3,Brighton,0.9,1.1,37
2021-05-23,16:00 (17:00),Premier League,Matchweek 38,Home,W,5,0,Everton,2.5,1.1,67
